RAND FORWARD BACKWARD,4194304,6244603.0,18430970.0,16903100.0,19984730.0,524288.0,35.15429
RAND BACKWARD BACKWARD,4194304,6216096.0,18208410.0,16980610.0,18599550.0,524288.0,34.72979
CYCLIC,4194304,182196400.0,634558.2,579337.0,753236.0,524288.0,1.210324
SAWTOOTH,4194304,218676400.0,526043.2,482691.0,712272.0,524288.0,1.003348
RAND FORWARD FORWARD,4194304,6209531.0,18328520.0,16998560.0,20065250.0,524288.0,34.95888
RAND FORWARD BACKWARD,4194304,6238951.0,18185710.0,16918410.0,18000630.0,524288.0,34.68648
RAND BACKWARD BACKWARD,4194304,6208836.0,18078700.0,17000470.0,17924220.0,524288.0,34.48239
CYCLIC,8388608,183585500.0,1323900.0,1149907.0,2780404.0,1048576.0,1.262569
SAWTOOTH,8388608,220771800.0,1091774.0,956219.0,2398770.0,1048576.0,1.041197
RAND FORWARD FORWARD,8388608,6179297.0,37493540.0,34163470.0,50524970.0,1048576.0,35.75663
RAND FORWARD BACKWARD,8388608,6192776.0,37211600.0,34089110.0,49217090.0,1048576.0,35.48774
RAND BACKWARD BACKWARD,8388608,6179633.0,39853000.0,34161610.0,88219140.0,1048576.0,38.00678
CYCLIC,8388608,178640000.0,1365499.0,1181741.0,3175557.0,1048576.0,1.302241
SAWTOOTH,8388608,220068100.0,1116292.0,959277.0,2661527.0,1048576.0,1.064579
RAND FORWARD FORWARD,8388608,6179029.0,37480170.0,34164960.0,51914060.0,1048576.0,35.74387
RAND FORWARD BACKWARD,8388608,6198000.0,37260760.0,34060380.0,48922840.0,1048576.0,35.53463
RAND BACKWARD BACKWARD,8388608,6185625.0,39278330.0,34128520.0,92453060.0,1048576.0,37.45873
CYCLIC,16777216,54597630.0,8373126.0,7733165.0,8834892.0,2097152.0,3.992618
SAWTOOTH,16777216,63073940.0,7646079.0,6693929.0,8344622.0,2097152.0,3.645934
RAND FORWARD FORWARD,16777216,1964947.0,237660800.0,214872200.0,336766200.0,2097152.0,113.3255
RAND FORWARD BACKWARD,16777216,2167039.0,221787500.0,194833800.0,297180100.0,2097152.0,105.7565
RAND BACKWARD BACKWARD,16777216,1935023.0,241417200.0,218195000.0,323392500.0,2097152.0,115.1167
CYCLIC,16777216,54917200.0,8347583.0,7688164.0,9142155.0,2097152.0,3.980438
SAWTOOTH,16777216,59090150.0,7715633.0,7145226.0,8123269.0,2097152.0,3.6791
RAND FORWARD FORWARD,16777216,1942517.0,240795800.0,217353300.0,333269500.0,2097152.0,114.8204
RAND FORWARD BACKWARD,16777216,2107450.0,222780900.0,200342800.0,306339500.0,2097152.0,106.2302
RAND BACKWARD BACKWARD,16777216,1943535.0,239633000.0,217239400.0,318281600.0,2097152.0,114.2659
CYCLIC,33554432,55882380.0,17069800.0,15110760.0,16444160.0,4194304.0,4.069757
SAWTOOTH,33554432,54121590.0,16663010.0,15602370.0,16157720.0,4194304.0,3.97277
RAND FORWARD FORWARD,33554432,1161879.0,772555100.0,726775000.0,798635800.0,4194304.0,184.1915
RAND FORWARD BACKWARD,33554432,1148908.0,784155800.0,734980300.0,781796800.0,4194304.0,186.9573
RAND BACKWARD BACKWARD,33554432,1157443.0,776318600.0,729560400.0,795785000.0,4194304.0,185.0888
CYCLIC,33554432,55572820.0,17072060.0,15194930.0,16389500.0,4194304.0,4.070297
SAWTOOTH,33554432,53684740.0,16696990.0,15729330.0,16028460.0,4194304.0,3.980872
RAND FORWARD FORWARD,33554432,1160856.0,772073800.0,727415800.0,795417500.0,4194304.0,184.0767
RAND FORWARD BACKWARD,33554432,1155385.0,778524200.0,730860100.0,788294400.0,4194304.0,185.6146
RAND BACKWARD BACKWARD,33554432,1159002.0,775772500.0,728579400.0,799955800.0,4194304.0,184.9586
CYCLIC,67108864,53143400.0,34227250.0,31779110.0,32816940.0,8388608.0,4.080206
SAWTOOTH,67108864,54445850.0,32829890.0,31018890.0,31396390.0,8388608.0,3.913628
RAND FORWARD FORWARD,67108864,991135.1,1825216000.0,1703955000.0,1753757000.0,8388608.0,217.5827
RAND FORWARD BACKWARD,67108864,1024322.0,1744481000.0,1648749000.0,1719040000.0,8388608.0,207.9583
RAND BACKWARD BACKWARD,67108864,982543.7,1827051000.0,1718855000.0,1759056000.0,8388608.0,217.8015
CYCLIC,67108864,53284600.0,34203050.0,31694890.0,32798070.0,8388608.0,4.077321
SAWTOOTH,67108864,54302250.0,32889390.0,31100920.0,31448550.0,8388608.0,3.920721
RAND FORWARD FORWARD,67108864,996969.9,1831516000.0,1693983000.0,1778102000.0,8388608.0,218.3337
RAND FORWARD BACKWARD,67108864,1034552.0,1725513000.0,1632445000.0,1670582000.0,8388608.0,205.6972
RAND BACKWARD BACKWARD,67108864,995694.4,1799032000.0,1696153000.0,1742337000.0,8388608.0,214.4613
CYCLIC,134217728,52920230.0,67877350.0,63826250.0,65500270.0,16777220.0,4.045805
SAWTOOTH,134217728,54410800.0,65612390.0,62077740.0,62850840.0,16777220.0,3.910803
RAND FORWARD FORWARD,134217728,948922.3,3755585000.0,3559511000.0,3583357000.0,16777220.0,223.8503
RAND FORWARD BACKWARD,134217728,962880.3,3716478000.0,3507912000.0,3553691000.0,16777220.0,221.5194
RAND BACKWARD BACKWARD,134217728,936024.1,3808815000.0,3608561000.0,3629465000.0,16777220.0,227.0231
CYCLIC,134217728,53128080.0,69405420.0,63576550.0,68167700.0,16777220.0,4.136885
SAWTOOTH,134217728,54198630.0,66189870.0,62320750.0,65768970.0,16777220.0,3.945223
RAND FORWARD FORWARD,134217728,949711.4,3754487000.0,3556554000.0,3588040000.0,16777220.0,223.7849
RAND FORWARD BACKWARD,134217728,957868.6,3720295000.0,3526266000.0,3556425000.0,16777220.0,221.7469
RAND BACKWARD BACKWARD,134217728,946300.1,3771221000.0,3569375000.0,3591890000.0,16777220.0,224.7823
